S/N,Calvert,sd1,Macondo,sd2,Duri,sd3,SanArdo,sd4,Compound,Compound tag,,
54,21.73856912,3.451984352,44.72572016,3.498015608,22.49136809,3.661647091,17.68086098,2.290068167,C12H12N2,M,,
55,38.78753642,2.483130496,88.62499061,4.682193075,45.08135632,9.596024717,55.62519532,7.230333208,C12H12N2,M,,
56,24.27138947,2.160170306,50.29589402,3.287792845,29.84148422,5.712264484,21.66198185,3.103987307,C12H12N2,M,,
57,7.315180968,0.376742189,18.03965897,1.11151368,5.813275922,0.687457664,6.605945925,0.272367703,C13H12O,N,,
58,53.84416134,6.720752748,72.43525836,4.046866241,60.1331636,4.494528692,59.35650497,10.21381146,C15H12,O,,
59,50.63599359,6.743846216,66.92099315,3.918198585,57.41188556,5.597573941,60.00709554,11.12020061,C15H12,O,,
60,59.9765975,8.516510415,76.05826251,3.020650295,64.14195196,6.564576071,62.36074651,10.86870902,C15H12,O,,
61,47.08037289,5.691351221,60.71497973,4.800197793,54.01124551,4.29608064,46.62931578,8.78915676,C15H12,O,,
62,42.70516422,1.665897168,70.60116128,8.789680943,26.27344168,5.891606577,27.62121248,3.095194895,C15H14,P,,
63,39.30944281,1.723675191,21.74600049,7.650070203,24.1026014,4.607478297,24.35116186,1.698360795,C15H14,P,,
64,30.73789598,3.334698807,85.02309217,12.58279297,14.4844443,2.198983765,20.43780794,2.141032367,C15H14,P,,
65,61.46185212,1.95515933,43.12865915,11.94380531,45.65690952,10.41049996,40.21708648,6.475748827,C15H14,P,,
66,65.22111882,4.101516715,66.05585634,12.97143244,41.80639096,8.679985517,46.74303871,2.990988516,C15H14,P,,
67,46.4871851,4.199101104,36.65235732,7.52133114,33.94861635,6.215921902,30.20560807,5.277570204,C15H14,P,,
68,25.52336087,1.400994328,38.73030205,5.805778124,14.389547,2.717019803,17.78772633,1.567391923,C15H14,P,,
69,23.09526425,0.969749986,44.0345432,5.882963581,13.08717914,2.319867723,16.85472874,1.7609919,C15H14,P,,
70,44.45760266,4.24801866,32.42346446,6.366980082,8.834995572,1.816069613,5.740954112,2.554760359,C15H16,Q,,
71,14.61073998,2.483251397,13.38875626,1.36072163,1.746300964,0.548887779,2.661452727,1.078117419,C15H16,Q,,
72,53.32039262,1.652628831,2.484153473,0.703417893,76.69631175,14.21435902,1.874344073,0.840893095,C15H16,Q,,
73,40.32933099,5.0096116,53.03829531,32.41019455,20.80379441,4.488765552,30.31484262,4.860497102,C15H16,Q,,
74,40.43508998,3.081775432,29.47048954,20.01981538,9.661444713,2.415473757,21.47794764,3.11099248,C15H16,Q,,
75,47.689057,4.354578606,38.15571122,20.86351183,57.95730038,10.89269942,19.61602472,2.196901316,C15H16,Q,,
76,49.86969091,8.108971165,23.32436713,7.099963673,57.08460589,5.403853927,13.46558562,1.144545454,C15H16,Q,,
77,56.9690626,8.328402735,50.41388451,14.63747209,51.84014371,9.389712359,28.09888358,2.220471817,C15H16,Q,,
78,22.55306054,2.553446865,19.28549207,8.620589078,17.72570129,2.722083252,17.09159394,4.892567352,C15H16,Q,,
79,32.24944596,3.927092624,32.00836801,9.790134258,37.91280588,7.194011769,22.0650901,3.677062508,C15H16,Q,,
80,11.02112798,1.47201745,16.11076585,5.389942092,14.14041107,1.717351667,13.89823359,5.875951304,C15H16,Q,,
81,41.97407673,2.338439723,122.6222233,14.35777144,33.8377082,6.622233984,23.74077432,1.863919742,C13H10S,R,,
82,1.335500911,0.126287171,3.196632716,0.435852461,4.591502861,1.196384098,4.799515838,0.137040272,C13H10S,R,,
83,9.268414969,0.975521303,37.23866243,2.922481964,10.26976895,1.63840165,8.460211243,0.744448107,C13H10S,R,,
84,16.63732911,0.474663016,55.22164624,5.757517255,13.80770383,2.563897406,12.85322112,0.613531396,C13H10S,R,,
85,16.25824672,0.289196296,67.66054874,8.533769339,35.18298804,2.376219754,20.5970743,3.654048933,C16H10,S,,
86,8.15405956,0.604346233,27.50698155,1.798927423,5.920929274,0.104310371,1.679794007,0.21731574,C16H12,T,,
87,9.715309963,0.682501995,18.03363845,1.222094276,12.04026535,0.728763536,8.705354125,1.532364405,C16H14,U,,
88,40.0757025,2.013149217,99.54922809,4.83688654,35.77035746,1.106282201,40.52769202,5.769432681,C16H14,U,,
89,8.520144677,0.370743329,13.46907877,2.004267236,12.55496033,1.306866663,9.188237728,1.77043736,C16H14,U,,
90,40.8048253,2.54857442,116.4078659,14.57559928,60.54974403,4.365044371,63.16710823,9.156899669,C16H14,U,,
91,26.4585567,4.58735304,18.37388036,0.833166392,5.913247187,0.70340742,5.932647529,0.950846993,C16H14,U,,
92,47.16309459,2.80998314,89.89127513,0.898738048,47.85281639,3.2876154,52.69680476,8.768456709,C16H14,U,,
93,164.3458463,16.47586137,220.1075245,42.5466551,175.9403575,13.37235393,196.8385497,22.89070175,C16H14,U,,
94,113.802082,11.79465456,180.0373005,4.329347139,110.4132849,7.657815573,121.4080209,19.24858406,C16H14,U,,
95,80.21857942,9.207983835,108.697276,0.888231934,92.62577284,8.397810052,102.6447019,14.23899214,C16H14,U,,
96,59.67091932,4.693212033,100.7880879,1.185352569,49.41062124,3.117861618,51.35564139,7.527611375,C16H14,U,,
97,29.49140039,2.773813872,48.23391774,1.611858506,30.05210101,1.459903953,22.28992542,4.459215388,C16H14,U,,
98,8.080520106,0.526643098,22.72634123,1.069932864,3.807477566,0.255428045,4.936686092,0.430343156,C17H14,V,,
99,6.779150379,0.349828086,15.40333038,0.714768974,2.442265434,0.032983321,3.831434681,0.445120327,C17H14,V,,
100,6.708959951,0.248795016,20.92222709,1.981067574,2.184256665,0.120023903,3.630329898,0.370810283,C17H14,V,,
101,4.980545293,0.356913568,14.03611247,1.458508865,1.633484482,0.099833151,2.990191154,0.495668156,C17H14,V,,
102,2.066618495,0.104139903,4.065227955,0.213373526,0.695112544,0.035560693,1.044998784,0.122739887,C17H14,V,,
103,7.58576106,0.03900815,41.87441222,2.02553655,21.85221886,1.627482098,14.23214717,0.426242765,C18H12,W,,
104,7.070904723,0.146106885,21.03890374,2.87857075,11.14081924,0.828662254,4.264359068,0.387154811,C18H12,W,,
105,7.518671656,0.337139418,26.84790298,2.427337416,15.37971917,0.826659249,7.548662502,0.403291136,C18H12,W,,
106,10.36048008,2.040650036,14.76508525,1.157812768,10.5880179,0.189867266,11.95696097,2.559243016,C18H18,X,,
107,8.592267377,0.532733905,13.45273236,1.141601416,7.689361658,0.356223988,7.65349274,0.778892551,C18H18,X,,
108,16.41411353,1.931026758,21.61275733,4.75400819,11.7932571,0.914817412,20.83775437,2.444000664,C18H18,X,,
109,21.10377988,0.976369747,32.98098738,3.50744786,17.46622764,1.248792994,23.96666563,2.934342662,C18H18,X,,
110,23.95409494,2.063726757,37.55517521,3.647136036,16.68523016,0.677930598,26.56549868,5.359458221,C18H18,X,,
111,11.30067291,2.409235575,14.37976081,1.931548565,4.097473144,0.608811465,6.901750776,1.409063943,C18H18,X,,
112,4.906534476,0.805375298,8.836807883,1.409830258,2.774990221,0.457033422,4.293339598,1.202693082,C18H18,X,,
113,25.25075593,0.586070673,40.43246221,1.529104518,11.68764574,1.069983875,24.46314319,1.993846391,C18H18,X,,
114,34.45635854,1.424449438,52.58717773,3.430812472,15.07435019,1.157072643,26.99066083,2.034300895,C18H18,X,,
115,25.88352113,3.065701314,36.03348477,2.118372947,15.28605156,0.947873339,29.05837916,2.872163642,C18H18,X,,
116,46.68447477,1.74808076,63.86148702,4.4790561,34.96202374,2.139994055,82.22516252,4.435534261,C18H18,X,,
117,16.89910674,0.54774786,23.32645393,1.940345727,7.699770798,0.507110907,14.82825675,2.97880422,C18H18,X,,
118,25.79993148,0.893752623,47.03554692,2.99067314,15.6951505,0.880334053,26.30055059,2.680977745,C18H18,X,,
119,14.57232132,2.1019818,25.19339905,2.200760469,11.4180974,1.751842433,16.65716017,3.196417453,C17H14O,Y,,
120,24.93144461,0.620113821,33.16469494,3.768727953,12.21911232,0.974789657,21.14491222,1.492603121,C17H14O,Y,,
121,0.514056973,0.052515948,1.402523206,0.085241171,0.325199218,0.028199113,0.205123281,0.160833552,C20H12,Z,,
122,0.304778815,0.026676688,0.270072429,0.046935531,1.220385191,0.099214868,0.231812488,0.039137838,C20H12,Z,,
123,5.199727145,0.053022405,14.60743841,0.162439421,10.97807646,0.739075888,2.74369363,0.143922848,C20H12,Z,,
124,4.157799351,0.116516836,7.615949542,0.325015978,5.480405947,0.540161972,2.62409541,0.311354307,C20H12,Z,,
125,1.017748055,0.119884354,0.916576342,0.063879628,0.349125656,0.051654441,27.17255937,3.862904383,C20H12,Z,,
126,0.18779445,0.017479529,0.149225606,0.008312214,0,0,0.059409314,0.036228767,C22H12,AB,,
127,2.92849243,0.091006813,4.457162372,0.137781842,2.228188098,0.122154023,2.252857316,0.308418986,C22H12,AB,,
128,0.520656008,0.135358318,1.99847432,0.242829007,2.645871595,0.315794242,1.492205945,0.147348445,C22H14,BC,,
